,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
53,svm,msg,356,v1,bae,v2,0.7772292040694195,0.6930940955560192,0.7772292040694195,0.7662131819829336,0.777359216972753,0.21738479952124473
54,RandomForest,msg,bae,v2,7d0,v3,0.9480401919073052,0.8953068592057761,0.9480401919073052,0.9484536006596002,0.9517313882816701,0.02679460487010049
55,svm,msg,bae,v2,7d0,v3,0.38019371775142574,0.36024321796071096,0.38019371775142574,0.24512212751992662,0.5232400341013491,0.6183579252285689
56,RandomForest,msg,7d0,v3,648,v4,0.9517948717948718,0.9283464566929134,0.9517948717948718,0.9516641338784889,0.9499731584103303,0.03179487179487184
57,svm,msg,7d0,v3,648,v4,0.8284249084249085,0.7557010135135135,0.8284249084249085,0.8217696919711569,0.8190604306916914,0.1674725274725275
58,RandomForest,msg,648,v4,9f4,v5,0.954160080471332,0.9433628318584071,0.954160080471332,0.95405828842718,0.951836461231125,0.01853714614168711
59,svm,msg,648,v4,9f4,v5,0.8718206638884898,0.8138639281129654,0.8718206638884898,0.8681835359122065,0.8582803767259111,0.12185658859031478
60,RandomForest,msg,9f4,v5,f15,v6,0.9640940982253405,0.9559572301425662,0.9640940982253405,0.964064963200286,0.9633025087577066,0.011693492915119008
61,svm,msg,9f4,v5,f15,v6,0.8859540514513689,0.8256266205704408,0.8859540514513689,0.883860202689898,0.8793618210014522,0.10799284633374606
62,RandomForest,uaa,abe,v0,92b,v1,0.9411870181100951,0.8572210065645515,0.9411870181100951,0.9420932074766479,0.946401537080881,0.03478572709341937
63,svm,uaa,abe,v0,92b,v1,0.8662363277747893,0.8378995433789954,0.8662363277747893,0.8615845414718183,0.8098934138275816,0.05737851891698045
64,RandomForest,uaa,92b,v1,9c2,v2,0.9557584269662921,0.8991981672394044,0.9557584269662921,0.9561340629637483,0.9551853351934356,0.0175561797752809
65,svm,uaa,92b,v1,9c2,v2,0.9336376404494382,0.8690337601862631,0.9336376404494382,0.9340502312218796,0.9257459160253814,0.01264044943820225
66,RandomForest,uaa,9c2,v2,05f,v3,0.8879547538978906,0.7537190082644628,0.8879547538978906,0.8896167434247633,0.8678187036534949,0.024610210944665256
67,svm,uaa,9c2,v2,05f,v3,0.7587893610516662,0.6743119266055045,0.7587893610516662,0.6817205168272146,0.5371750425987093,0.21950473861204525
68,RandomForest,vrapt,71f,v0,585,v1,0.9579700424770847,0.9509076558800316,0.9579700424770847,0.957440703727375,0.9402347847725774,0.027498323272971192
69,svm,vrapt,71f,v0,585,v1,0.9147104851330203,0.8973440763951059,0.9147104851330203,0.9116294784502844,0.8734353329589619,0.06852224457858258
70,RandomForest,vrapt,585,v1,6a4,v2,0.8959703566465956,0.9044302352135191,0.8959703566465956,0.8914629341137912,0.8208679673494694,0.051042149143121884
71,svm,vrapt,585,v1,6a4,v2,0.8776285317276517,0.8677632984405041,0.8776285317276517,0.8640758190401698,0.7557625064289937,0.10699397869383975
72,RandomForest,wire,3ca,v0,b98,v1,0.8731433159373746,0.8415233415233415,0.8731433159373746,0.8720774748555348,0.8529358223164147,0.023283821758329992
73,svm,wire,3ca,v0,b98,v1,0.3500602167804095,0.3500602167804095,0.3500602167804095,0.18153583647488378,0.5,0.6499397832195906
74,RandomForest,wire,b98,v1,239,v2,0.9715077166600712,0.9339019189765458,0.9715077166600712,0.9716845070146443,0.9754657389715845,0.020577760189948557
75,svm,wire,b98,v1,239,v2,0.3506133755441235,0.3506133755441235,0.3506133755441235,0.18203542381019244,0.5,0.6493866244558766
76,RandomForest,wire,239,v2,653,v3,0.9447449768160742,0.890608875128999,0.9447449768160742,0.9451884897100196,0.9480463401790415,0.02666151468315303
77,svm,wire,239,v2,653,v3,0.7901854714064915,0.6277738010021474,0.7901854714064915,0.7947740933244882,0.833193786203265,0.1920401854714065
