,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
17,svm,assj,dd1,v3,302,v4,0.8778256755335927,0.9175130047064652,0.8778256755335927,0.8750640507992726,0.7614050623663173,0.017874040584586304
18,RandomForest,assj,302,v4,eee,v5,0.9364250614250614,0.9473127131600612,0.9364250614250614,0.9338311193514814,0.8440325717063686,0.028153153153153254
19,svm,assj,302,v4,eee,v5,0.9124692874692875,0.9124063094305851,0.9124692874692875,0.9011467537171003,0.7414039169386762,0.0727886977886979
20,RandomForest,joda,639,v0,1ad,v1,0.7046743735190637,0.9073757896534062,0.7046743735190637,0.708444789487335,0.7452733727739326,0.21741940116320818
21,svm,joda,639,v0,1ad,v1,0.7394988152509514,0.7498099220680479,0.7394988152509514,0.7252434601306289,0.6829214954539438,0.11754146621670136
22,RandomForest,joda,1ad,v1,f12,v2,0.9158663501917108,0.9137204022056439,0.9158663501917108,0.9148992155292077,0.8982609567047322,0.03242651086361148
23,svm,joda,1ad,v1,f12,v2,0.7687420120503925,0.7470750624424872,0.7687420120503925,0.7416237506762605,0.6888285835036185,0.19028665327734162
24,RandomForest,joda,f12,v2,c3e,v3,0.9245816126928929,0.927593383722204,0.9245816126928929,0.9240705930418892,0.9118259178903075,0.020357893211620626
25,svm,joda,f12,v2,c3e,v3,0.8607549083532565,0.8457468051118211,0.8607549083532565,0.8557635990234359,0.8227926222986992,0.08461928566253718
26,RandomForest,lafj,7bd,v0,92c,v1,0.8898326898326898,0.8606927710843374,0.8898326898326898,0.8898586468634281,0.8909633557189499,0.032689832689832665
27,svm,lafj,7bd,v0,92c,v1,0.6290862290862291,0.5664576802507837,0.6290862290862291,0.5871891541219542,0.6421236694715049,0.341055341055341
28,RandomForest,lafj,92c,v1,be1,v2,0.8729548834903321,0.8932384341637011,0.8729548834903321,0.872706644592952,0.8717853833915935,0.03036688150718886
29,svm,lafj,92c,v1,be1,v2,0.7824739712444224,0.730976503556801,0.7824739712444224,0.7813086637057539,0.7853263617940947,0.09184432325235503
30,RandomForest,lafj,be1,v2,d7e,v3,0.873453853472883,0.8303807778456526,0.873453853472883,0.872570599563559,0.8715854882219716,0.07159847764034244
31,svm,lafj,be1,v2,d7e,v3,0.79686013320647,0.7275590551181103,0.79686013320647,0.7900808604871726,0.7925541615043908,0.16722169362511885
32,RandomForest,lafj,d7e,v3,be9,v4,0.8159749412685983,0.8860783211542065,0.8159749412685983,0.8182460706422113,0.8142679261663978,0.04799194540776375
